47	3385	5296	4	[0.19 - 0.16 - 0.06 - 0.59]
48	2678	5286	1	[0.98 - 0.02 - 0.00 - 0.00]
49	2888	5285	1	[0.75 - 0.17 - 0.00 - 0.08]
50	2679	5273	1	[0.86 - 0.10 - 0.00 - 0.04]
51	3376	5270	4	[0.00 - 0.01 - 0.14 - 0.84]
52	3301	5264	4	[0.03 - 0.08 - 0.09 - 0.80]
53	3112	5257	1	[0.98 - 0.02 - 0.00 - 0.00]
54	2942	5250	2	[0.42 - 0.49 - 0.03 - 0.06]
55	2908	5237	1	[0.87 - 0.13 - 0.00 - 0.00]
56	3196	5224	1	[0.52 - 0.27 - 0.06 - 0.15]
57	3213	5231	4	[0.00 - 0.01 - 0.06 - 0.93]
58	3215	5226	3	[0.00 - 0.06 - 0.64 - 0.29]
59	3222	5221	3	[0.03 - 0.19 - 0.48 - 0.31]
60	3217	5218	4	[0.01 - 0.07 - 0.40 - 0.52]
61	2822	5216	1	[0.99 - 0.01 - 0.00 - 0.00]
62	3189	5219	4	[0.01 - 0.05 - 0.21 - 0.73]
63	3191	5214	4	[0.01 - 0.03 - 0.28 - 0.68]
64	3272	5190	4	[0.37 - 0.17 - 0.04 - 0.43]
65	3281	5211	3	[0.01 - 0.23 - 0.71 - 0.05]
66	3277	5201	2	[0.16 - 0.33 - 0.29 - 0.22]
67	3201	5206	4	[0.00 - 0.05 - 0.26 - 0.68]
68	3452	5206	4	[0.01 - 0.09 - 0.43 - 0.47]
69	2200	5204	1	[0.79 - 0.12 - 0.00 - 0.08]
70	3436	5195	4	[0.05 - 0.17 - 0.25 - 0.53]
71	3416	5200	4	[0.00 - 0.01 - 0.07 - 0.92]
72	2475	5189	1	[0.98 - 0.02 - 0.00 - 0.00]
73	2792	5188	1	[0.89 - 0.09 - 0.00 - 0.02]
74	3434	5184	2	[0.22 - 0.55 - 0.11 - 0.12]
75	3380	5185	4	[0.05 - 0.15 - 0.13 - 0.68]
76	3463	5181	4	[0.01 - 0.11 - 0.34 - 0.54]
77	3300	5181	1	[0.47 - 0.36 - 0.05 - 0.12]
78	2182	5183	4	[0.00 - 0.00 - 0.02 - 0.98]
79	2176	5181	1	[0.64 - 0.22 - 0.02 - 0.11]
80	3420	5180	4	[0.00 - 0.02 - 0.22 - 0.75]
81	2270	5177	1	[0.92 - 0.07 - 0.00 - 0.01]
82	2804	5171	1	[0.97 - 0.02 - 0.00 - 0.00]
83	3017	5173	1	[0.71 - 0.26 - 0.01 - 0.03]
84	3489	5162	4	[0.00 - 0.02 - 0.25 - 0.73]
85	3436	5159	4	[0.01 - 0.04 - 0.17 - 0.78]
86	3474	5151	3	[0.00 - 0.05 - 0.48 - 0.47]
87	2983	5142	1	[0.99 - 0.01 - 0.00 - 0.00]
88	3444	5142	4	[0.00 - 0.04 - 0.43 - 0.53]
89	3426	5146	4	[0.00 - 0.04 - 0.20 - 0.76]
90	3261	5144	4	[0.11 - 0.18 - 0.19 - 0.51]
91	3476	5135	4	[0.00 - 0.01 - 0.15 - 0.84]
92	3153	5124	1	[0.98 - 0.02 - 0.00 - 0.00]
93	3529	5124	4	[0.07 - 0.32 - 0.15 - 0.45]
94	2245	5096	4	[0.45 - 0.03 - 0.01 - 0.51]
95	3431	5104	4	[0.01 - 0.01 - 0.07 - 0.92]
96	3429	5093	4	[0.00 - 0.01 - 0.09 - 0.90]
97	3428	5099	4	[0.00 - 0.02 - 0.38 - 0.60]
98	3428	5097	4	[0.00 - 0.02 - 0.45 - 0.53]
99	2740	5097	1	[0.50 - 0.20 - 0.03 - 0.28]
100	3473	5096	4	[0.00 - 0.01 - 0.38 - 0.62]
101	3512	5092	4	[0.01 - 0.04 - 0.22 - 0.73]
102	3485	5088	4	[0.00 - 0.06 - 0.26 - 0.67]
103	3268	5085	1	[0.51 - 0.16 - 0.02 - 0.31]
104	3514	5084	4	[0.01 - 0.04 - 0.13 - 0.82]
105	3473	5077	4	[0.00 - 0.01 - 0.09 - 0.90]
106	4005	5072	4	[0.00 - 0.01 - 0.04 - 0.96]
107	3036	5072	1	[0.82 - 0.16 - 0.00 - 0.02]
108	3656	5069	1	[0.96 - 0.03 - 0.00 - 0.01]
109	3573	5060	4	[0.01 - 0.13 - 0.37 - 0.48]
110	3569	5060	4	[0.04 - 0.10 - 0.26 - 0.60]
111	3303	5068	2	[0.15 - 0.35 - 0.17 - 0.33]
112	3531	5067	4	[0.01 - 0.03 - 0.11 - 0.85]
113	2880	5066	4	[0.22 - 0.32 - 0.04 - 0.42]
114	3511	5060	4	[0.00 - 0.01 - 0.08 - 0.91]
115	3508	5035	4	[0.00 - 0.02 - 0.49 - 0.49]
116	3519	5057	4	[0.00 - 0.01 - 0.09 - 0.90]
117	3517	5051	3	[0.00 - 0.02 - 0.57 - 0.40]
118	3500	5045	4	[0.01 - 0.02 - 0.07 - 0.90]
119	3493	5051	4	[0.00 - 0.02 - 0.12 - 0.86]
120	3461	5052	3	[0.00 - 0.01 - 0.60 - 0.39]
121	3048	5055	1	[0.52 - 0.43 - 0.01 - 0.04]
122	3356	5050	2	[0.23 - 0.47 - 0.16 - 0.13]
123	3485	5051	4	[0.00 - 0.01 - 0.23 - 0.76]
124	3527	5050	4	[0.00 - 0.03 - 0.18 - 0.80]
125	2889	5040	2	[0.39 - 0.52 - 0.03 - 0.05]
126	3449	5037	2	[0.14 - 0.50 - 0.22 - 0.14]
127	3096	5041	1	[0.67 - 0.14 - 0.01 - 0.18]
128	3576	5003	2	[0.03 - 0.40 - 0.38 - 0.19]
129	3572	5012	4	[0.00 - 0.02 - 0.36 - 0.62]
130	3525	5039	4	[0.00 - 0.00 - 0.07 - 0.93]
131	4061	5037	4	[0.00 - 0.01 - 0.14 - 0.85]
132	3576	5011	3	[0.01 - 0.31 - 0.57 - 0.11]
133	3631	5032	1	[0.84 - 0.13 - 0.00 - 0.03]
134	3488	5032	4	[0.00 - 0.00 - 0.15 - 0.84]
135	3457	5030	4	[0.02 - 0.05 - 0.09 - 0.85]
136	3489	5020	4	[0.00 - 0.00 - 0.09 - 0.90]
137	3236	5021	1	[0.79 - 0.17 - 0.00 - 0.04]
138	3496	5019	4	[0.00 - 0.01 - 0.13 - 0.87]
139	2907	5019	2	[0.25 - 0.59 - 0.06 - 0.10]
140	3512	5018	4	[0.00 - 0.01 - 0.17 - 0.82]
141	4070	5016	4	[0.00 - 0.01 - 0.03 - 0.96]
142	3248	5011	2	[0.24 - 0.38 - 0.05 - 0.33]
143	2106	5005	1	[0.79 - 0.09 - 0.01 - 0.11]
144	2607	4989	3	[0.01 - 0.07 - 0.65 - 0.27]
145	3789	4986	1	[0.94 - 0.05 - 0.00 - 0.01]
146	3528	4986	4	[0.11 - 0.21 - 0.17 - 0.51]
